UTC_Date,Profundity,Magnitude,Date,Hour,Location,Latitude,Longitude
2009-10-10 15:34:39,120 km,3.9 Ml,2009-10-10,11:34:39,32 km al O de Mendoza,-32.993,-69.145
2014-06-22 00:48:11,38 km,3.7 Ml,2014-06-21,20:48:11,36 km al O de La Serena,-29.832,-71.616
2001-05-08 06:15:29,16 km,3.9 Mc,2001-05-08,02:15:29,130 km al O de ValparaÃ­so,-32.550,-72.869
2001-03-05 02:04:15,86 km,2.9 Mc,2001-03-04,23:04:15,5 km al S de Santiago,-33.483,-70.663
2022-10-12 18:50:01,23 km,3.1 Ml,2022-10-12,15:50:01,174 km al O de Pichilemu,-34.290,-73.906
2018-08-04 01:02:30,80 km,3.3 Ml,2018-08-03,21:02:30,46 km al NE de Vallenar,-28.312,-70.398
2020-08-20 23:51:28,109 km,3.1 Ml,2020-08-20,19:51:28,35 km al E de Linares,-35.768,-71.227
2011-07-10 15:48:59,41 km,3.8 Ml,2011-07-10,11:48:59,84 km al N de Tocopilla,-21.342,-70.237
2011-02-11 21:45:57,18 km,4.9 Ml,2011-02-11,18:45:57,40 km al NO de Concepción,-36.657,-73.442
2021-11-09 00:53:08,127 km,2.9 Ml,2021-11-08,21:53:08,26 km al SO de Socaire,-23.760,-68.065
2022-06-15 05:57:38,106 km,2.7 Ml,2022-06-15,01:57:38,53 km al NE de Copiapó,-27.157,-69.847
2004-08-28 22:46:26,11 km,3.7 Mc,2004-08-28,18:46:26,14 km al S de Termas del Flaco,-35.083,-70.452
2020-06-01 08:58:00,203 km,2.8 Ml,2020-06-01,04:58:00,91 km al NE de San Pedro de Atacama,-22.317,-67.607
2010-03-06 18:35:07,20 km,3.1 Ml,2010-03-06,15:35:07,33 km al SE de Pichilemu,-34.608,-71.766
2016-05-15 17:33:19,269 km,3.3 Ml,2016-05-15,13:33:19,118 km al NE de Socaire,-22.936,-66.983
2005-03-27 04:57:39,180 km,5.3 Ml,2005-03-27,00:57:39,105 km al SE de Socaire,-24.396,-67.343
2023-05-15 03:30:20,43 km,3.7 Ml,2023-05-14,23:30:20,43 km al O de La Ligua,-32.503,-71.686
2009-03-23 08:13:05,104 km,2.3 Ml,2009-03-23,04:13:05,28 km al SE de Los Andes.,-33.008,-70.376
2017-03-20 12:34:08,74 km,3.4 Ml,2017-03-20,09:34:08,30 km al O de Colina,-33.282,-70.980
2004-04-25 22:37:52,112 km,2.4 Mc,2004-04-25,18:37:52,31 km al SE de Rancagua,-34.366,-70.497
2023-07-20 06:21:50,92 km,2.5 Ml,2023-07-20,02:21:50,110 km al E de Tierra Amarilla,-27.356,-69.160
2020-10-14 20:16:09,126 km,4.3 Ml,2020-10-14,17:16:09,40 km al N de Farellones,-33.006,-70.187
2013-12-29 15:08:34,101 km,4.1 Ml,2013-12-29,12:08:34,38 km al S de San José de Maipo,-33.985,-70.329
2023-05-26 18:03:35,94 km,3.0 Ml,2023-05-26,14:03:35,30 km al NE de Sierra Gorda.,-22.757,-69.067
2020-09-02 23:56:03,111 km,2.6 Ml,2020-09-02,19:56:03,46 km al SE de Mina Los Pelambres,-32.190,-70.365
2017-12-24 20:27:34,22 km,3.4 Ml,2017-12-24,17:27:34,40 km al NO de TirÃºa,-38.047,-73.759
2009-04-10 04:27:10,2 km,2.6 Ml,2009-04-10,00:27:10,12 km al NE de Chaitén,-42.845,-72.607
2010-03-03 03:41:19,29 km,4.2 Ml,2010-03-03,00:41:19,22 km al N de Vichuquén,-34.689,-71.971
2010-08-30 04:15:56,111 km,3.4 Ml,2010-08-30,00:15:56,15 km al NE de Pica,-20.369,-69.267
2013-01-23 02:47:37,35 km,5.2 Ml,2013-01-22,23:47:37,25 km al NO de Los Vilos,-31.700,-71.611
2018-01-18 14:31:12,122 km,2.8 Ml,2018-01-18,11:31:12,53 km al S de Ollagüe,-21.670,-68.423
2015-09-20 06:25:53,32 km,3.5 Ml,2015-09-20,03:25:53,33 km al NO de Los Vilos,-31.645,-71.655
2007-05-14 04:03:59,130 km,4.2 Ml,2007-05-14,00:03:59,113 km al E de Alto del Carmen,-28.334,-69.441
2011-08-24 16:39:51,20 km,2.9 Ml,2011-08-24,13:39:51,23 km al O de Constitución,-35.398,-72.654
2016-04-07 00:47:47,41 km,3.3 Ml,2016-04-06,21:47:47,26 km al N de Tongoy,-30.033,-71.582
2019-03-27 20:27:29,15 km,4.4 Mw,2019-03-27,17:27:29,86 km al N de Chos Malal,-36.613,-70.370
2001-11-07 12:24:11,194 km,4.0 Mc,2001-11-07,09:24:11,63 km al O de San Juan.,-31.600,-69.191
2022-05-24 10:07:18,63 km,2.8 Ml,2022-05-24,06:07:18,85 km al NO de Quillagua,-21.263,-70.240
2009-01-01 23:10:02,48 km,4.9 Ml,2009-01-01,20:10:02,129 km al E de Socaire,-23.979,-66.695
2023-07-03 18:24:30,50 km,2.9 Ml,2023-07-03,14:24:30,17 km al O de La Serena,-29.863,-71.418
2019-06-14 11:24:25,131 km,4.1 Ml,2019-06-14,07:24:25,24 km al NE de Calama,-22.344,-68.736
2009-07-28 01:37:36,131 km,3.2 Ml,2009-07-27,21:37:36,10 km al SO de San Pedro de Atacama,-23.002,-68.238
2021-08-05 03:31:58,91 km,2.6 Ml,2021-08-04,23:31:58,10 km al SE de Camiña,-19.393,-69.381
2016-03-23 00:37:59,49 km,4.9 Ml,2016-03-22,21:37:59,18 km al NE de Los Vilos,-31.765,-71.432
